"Harrow & Wealdstone", "Kenton", "Bakerloo", 3, "5", "0"
"Kenton", "South Kenton", "Bakerloo", 2, "4", "0"
"South Kenton", "North Wembley", "Bakerloo", 2, "4", "0"
"North Wembley", "Wembley Central", "Bakerloo", 2, "4", "0"
"Wembley Central", "Stonebridge Park", "Bakerloo", 3, "4", "0"
"Stonebridge Park", "Harlesden", "Bakerloo", 2, "3", "0"
"Harlesden", "Willesden Junction", "Bakerloo", 2, "3", "0"
"Willesden Junction", "Kensal Green", "Bakerloo", 3, "3", "0"
"Kensal Green", "Queen's Park", "Bakerloo", 3, "2", "0"
"Queen's Park", "Kilburn Park", "Bakerloo", 2, "2", "0"
"Kilburn Park", "Maida Vale", "Bakerloo", 2, "2", "0"
"Maida Vale", "Warwick Avenue", "Bakerloo", 1, "2", "0"
"Warwick Avenue", "Paddington", "Bakerloo", 2, "2", "0"
"Paddington", "Edgware Road", "Bakerloo", 3, "1", "0"
"Edgware Road", "Marylebone", "Bakerloo", 2, "1", "0"
"Marylebone", "Baker Street", "Bakerloo", 1, "1", "0"
"Baker Street", "Regent's Park", "Bakerloo", 2, "1", "0"
"Regent's Park", "Oxford Circus", "Bakerloo", 2, "1", "0"
"Oxford Circus", "Piccadilly Circus", "Bakerloo", 2, "1", "0"
"Piccadilly Circus", "Charing Cross", "Bakerloo", 2, "1", "0"
"Charing Cross", "Embankment", "Bakerloo", 1, "1", "0"
"Embankment", "Waterloo", "Bakerloo", 2, "1", "0"
"Waterloo", "Lambeth North", "Bakerloo", 1, "1", "0"
"Lambeth North", "Elephant & Castle", "Bakerloo", 3, "1", "0"
"West Ruislip", "Ruislip Gardens", "Central", 3, "6", "0"
"Ruislip Gardens", "South Ruislip", "Central", 1, "5", "0"
"South Ruislip", "Northolt", "Central", 3, "5", "0"
"Northolt", "Greenford", "Central", 2, "5", "0"
"Greenford", "Perivale", "Central", 2, "4", "0"
"Perivale", "Hanger Lane", "Central", 2, "4", "0"
"Hanger Lane", "North Acton", "Central", 2, "3", "0"
"Ealing Broadway", "West Acton", "Central", 3, "3", "0"
"West Acton", "North Acton", "Central", 2, "3", "0"
"North Acton", "East Acton", "Central", 2, "2", "3"
"East Acton", "White City", "Central", 3, "2", "0"
"White City", "Shepherd's Bush", "Central", 3, "2", "0"
"Shepherd's Bush", "Holland Park", "Central", 2, "2", "0"
"Holland Park", "Notting Hill Gate", "Central", 2, "2", "0"
"Notting Hill Gate", "Queensway", "Central", 2, "1", "2"
"Queensway", "Lancaster Gate", "Central", 1, "1", "0"
"Lancaster Gate", "Marble Arch", "Central", 3, "1", "0"
"Marble Arch", "Bond Street", "Central", 1, "1", "0"
"Bond Street", "Oxford Circus", "Central", 1, "1", "0"
"Oxford Circus", "Tottenham Court Road", "Central", 2, "1", "0"
"Tottenham Court Road", "Holborn", "Central", 2, "1", "0"
"Holborn", "Chancery Lane", "Central", 1, "1", "0"
"Chancery Lane", "St. Paul's", "Central", 2, "1", "0"
"St. Paul's", "Bank/Monument", "Central", 2, "1", "0"
"Bank/Monument", "Liverpool Street", "Central", 2, "1", "0"
"Liverpool Street", "Bethnal Green", "Central", 3, "1", "0"
"Bethnal Green", "Mile End", "Central", 2, "2", "0"
"Mile End", "Stratford", "Central", 4, "2", "0"
"Stratford", "Leyton", "Central", 2, "3", "0"
"Leyton", "Leytonstone", "Central", 3, "3", "0"
"Leytonstone", "Wanstead", "Central", 2, "3", "4"
"Wanstead", "Redbridge", "Central", 2, "4", "0"
"Redbridge", "Gants Hill", "Central", 2, "4", "0"
"Gants Hill", "Newbury Park", "Central", 3, "5", "6"
"Newbury Park", "Barkingside", "Central", 2, "4", "0"
"Barkingside", "Fairlop", "Central", 2, "5", "0"
