"Episode"	"Scene"	"Scene_info"	"Character_name"	"Line"	"Gender"
"1350"	"1"	"DESERTED CAR PARK EXT NIGHT"	"SHIRLEY"	"Look at ya, not a mark on ya. And you think you're an unlucky man."	"FEMALE"
"1350"	"1"	"DESERTED CAR PARK EXT NIGHT"	"OTHER"	"Shirl..."	"MALE"
"1350"	"2"	"R&R INT NIGHT"	"JACK"	"Oi. Where have you been? Huh? What were the texts about?"	"MALE"
"1350"	"2"	"R&R INT NIGHT"	"RONNIE"	"Nothing. Nothing. I'll be with you in two minutes yeah?"	"FEMALE"
"1350"	"2"	"R&R INT NIGHT"	"JACK"	"Well I've got mates here I wanted to have a chat with them, instead I've been serving behind the bar."	"MALE"
"1350"	"2"	"R&R INT NIGHT"	"RONNIE"	"Alright. Two minutes."	"FEMALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"OTHER"	"Where you going?"	"MALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"SHIRLEY"	"I'm gonna get help. Oh where's my phone? Oh Kevin. Kevin you smashed it, didn't ya? Kevin, Kevin, where's your phone?"	"FEMALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"OTHER"	"In my right pocket."	"MALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"OTHER"	"I'm done for."	"MALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"SHIRLEY"	"No you're not, ssh, shut up."	"FEMALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"OTHER"	"I'm done for."	"MALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"SHIRLEY"	"Fire brigade and ambulance. There's been an accident. On an industrial estate in Walford. ...Um, the Marsh Lane industrial estate. Please come quick. My husband- he's not my husband- my friend. He's trapped in the car. Please come quick... Shirley Carter. 82 82B George Street, Walford, E20. Please hurry, please come quick."	"FEMALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"SHIRLEY"	"Kevin. Kevin!"	"FEMALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"SHIRLEY"	"Kevin I'm gonna go to the main road -"	"FEMALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"OTHER"	"No."	"MALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"SHIRLEY"	"To make sure they know where to go."	"FEMALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"OTHER"	"Don't go Shirl. I'm not going to make it."	"MALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"SHIRLEY"	"Kevin I'll be five minutes."	"FEMALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"OTHER"	"No I ain't got five minutes. I, I ain't got it. You just, you just sit there with me please. I don't want to go on my own."	"MALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"SHIRLEY"	"You'll be fine. You're talking. I'll be five minutes."	"FEMALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"OTHER"	"Please, Shirley, for once in your life do what I ask. I'm scared. I'm scared. I'm so scared."	"MALE"
"1350"	"4"	"DESERTED CAR PARK EXT NIGHT"	"SHIRLEY"	"It's alright, it's alright, it's alright, it's alright."	"FEMALE"
"1350"	"6"	"BRANNINGS' HOUSE INT NIGHT"	"TANYA"	"Another drink?"	"FEMALE"
"1350"	"6"	"BRANNINGS' HOUSE INT NIGHT"	"SEAN"	"No. I'm pretty wasted as it goes."	"MALE"
"1350"	"6"	"BRANNINGS' HOUSE INT NIGHT"	"TANYA"	"Lightweight. Let's see what we got over here shall we? Oh look it's 21 year old whisky. Let's have that shall we? Max prefers them younger."	"FEMALE"
"1350"	"6"	"BRANNINGS' HOUSE INT NIGHT"	"SEAN"	"In for a penny."	"MALE"
"1350"	"6"	"BRANNINGS' HOUSE INT NIGHT"	"TANYA"	"That's my Seany Sean Sean. No point going to bed early on New Year's Eve is there?"	"FEMALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"ROXY"	"What is he doing here?"	"FEMALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"Phil said he'd be alright. He's only having a shandy."	"MALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"I've had two and my legs feel funny."	"MALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"Don't be daft. That's in your head. There's hardly anything in it. That's one of them looks, innit? What have I done wrong?"	"MALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"ROXY"	"Surprised you have to ask."	"FEMALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"Come on then, what is it?"	"MALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"ROXY"	"I'm not going to spell it out for you."	"FEMALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"What have I gotta do, run a load of options through my head?"	"MALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"ROXY"	"You really know how to treat a girl right, don't you, Jase? New year's eve- No text, no call, no plan."	"FEMALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"Oh come on, I thought you'd be working."	"MALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"ROXY"	"Is that how we're doing things now? Telepathy? I thought you might've served me up something a bit posher than a fish supper. Obviously you didn't pick that up on your radar."	"FEMALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"I'm lost here. Do you know what she's on about?"	"MALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"ROXY"	"Do you know what, you're skating on thin ice, Dyer. That's all I'm saying on the subject."	"FEMALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"Roxy?"	"MALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"You are such a plank?"	"MALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"What? What did I do?"	"MALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"Get us another pint and I'll tell you your schoolboy mistakes."	"MALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"Is there room for me?"	"FEMALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"Yeah, course there is darling."	"FEMALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"I'll get you a drink."	"MALE"
"1350"	"5"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"Come and sit with us."	"FEMALE"
"1350"	"11"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"You don't think Shirley's gone home, do you?"	"MALE"
"1350"	"11"	"VIC DOWNSTAIRS INT NIGHT"	"HEATHER"	"Why do you want to go home yourself?"	"FEMALE"
"1350"	"11"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"No."	"MALE"
"1350"	"11"	"VIC DOWNSTAIRS INT NIGHT"	"HEATHER"	"Someone there waiting to see you is there?"	"FEMALE"
"1350"	"11"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"What are you on about? You've been acting weird all day."	"MALE"
"1350"	"11"	"VIC DOWNSTAIRS INT NIGHT"	"HEATHER"	"I know."	"FEMALE"
"1350"	"11"	"VIC DOWNSTAIRS INT NIGHT"	"OTHER"	"Know what?"	"MALE"
"1350"	"18"	"BRANNINGS' HOUSE INT NIGHT"	"TANYA"	"Who's that?"	"FEMALE"
